Timestamp,Region,Server,IP Address,Packet Loss (%),RTT Min (ms),RTT Avg (ms),RTT Max (ms),Hop Count,Path
2024-12-04 15:00:52,West,www.ucla.edu,"d1zev4mn1zpfbc.cloudfront.net.
108.159.227.76
108.159.227.94
108.159.227.71
108.159.227.13",0.0,9.11,9.704,10.558,30,172.25.144.1 -> 172.20.0.2 -> 10.2.3.54 -> 10.2.3.170 -> 192.5.109.1 -> 192.5.109.237 -> 192.153.37.49 -> 198.71.46.0 -> 163.253.2.17 -> 163.253.1.225 -> 99.82.179.50 -> * -> * -> * -> * -> * -> * -> 15.230.192.13 -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> *
2024-12-04 15:00:52,West,www.caltech.edu,"www.caltech.edu.cdn.cloudflare.net.
172.64.151.221
104.18.36.35",0.0,10.277,11.782,14.132,13,172.25.144.1 -> 172.20.0.2 -> 10.2.3.54 -> 10.2.3.170 -> 192.5.109.1 -> 192.5.109.237 -> 199.18.194.49 -> 198.71.47.36 -> 163.253.2.17 -> 163.253.1.225 -> 141.101.73.50 -> 141.101.73.220 -> 104.18.36.35
2024-12-04 15:00:52,West,www.usc.edu,23.185.0.3,0.0,10.21,21.472,66.806,30,172.25.144.1 -> 172.20.0.2 -> 10.2.3.54 -> 10.2.3.170 -> 192.5.109.1 -> 192.5.109.237 -> 199.18.194.49 -> 198.71.47.36 -> 163.253.2.17 -> 163.253.1.221 -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> *
2024-12-04 15:00:52,Mountain,www.unco.edu,138.86.97.143,,,,,30,172.25.144.1 -> 172.20.0.2 -> 10.2.3.54 -> 10.2.3.170 -> 192.5.109.1 -> 192.5.109.237 -> 192.153.37.49 -> 199.218.39.233 -> 199.218.38.165 -> 192.153.37.189 -> 198.71.45.147 -> 163.253.1.93 -> 163.253.2.22 -> 163.253.1.95 -> 163.253.1.245 -> 163.253.1.242 -> 163.253.5.43 -> 138.86.3.5 -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> *
2024-12-04 15:00:52,Mountain,www.unm.edu,"wwwvs.unm.edu.
129.24.172.124",0.0,43.487,44.53,47.258,23,172.25.144.1 -> 172.20.0.2 -> 10.2.3.54 -> 10.2.3.170 -> 192.5.109.1 -> 192.5.109.237 -> 192.153.37.49 -> 199.218.39.233 -> 199.218.38.165 -> 192.153.37.189 -> 198.71.45.147 -> 163.253.1.89 -> 163.253.2.22 -> 163.253.1.97 -> 163.253.1.245 -> 163.253.1.242 -> 198.71.46.9 -> 10.2.18.86 -> 10.24.193.44 -> 10.24.192.138 -> 10.24.192.209 -> 10.24.193.70 -> 129.24.172.124
2024-12-04 15:00:52,Mountain,www.unlv.edu,"live-university-of-nevada-las-vegas.pantheonsite.io.
fe2.edge.pantheon.io.
23.185.0.2",0.0,10.263,12.09,18.974,30,172.25.144.1 -> 172.20.0.2 -> 10.2.3.54 -> 10.2.3.170 -> 192.5.109.1 -> 192.5.109.237 -> 199.18.194.49 -> 198.71.47.36 -> 163.253.2.17 -> 163.253.1.223 -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> *
2024-12-04 15:00:52,Mountain,www.colo.edu,,,,,,,
2024-12-04 15:00:52,Mountain,www.utah.edu,155.98.186.21,0.0,53.373,56.656,62.933,30,172.25.144.1 -> 172.20.0.2 -> 10.2.3.54 -> 10.2.3.170 -> 192.5.109.1 -> 192.5.109.237 -> 192.153.37.49 -> 199.218.39.253 -> 199.218.38.125 -> 192.153.37.189 -> 198.71.45.147 -> 163.253.1.93 -> 163.253.2.22 -> 163.253.1.95 -> 163.253.1.245 -> 163.253.1.242 -> 163.253.1.171 -> 163.253.1.152 -> 163.253.5.7 -> 140.197.249.126 -> 140.197.252.76 -> 140.197.252.84 -> * -> 199.104.93.22 -> 199.104.93.29 -> 155.99.130.59 -> 155.99.130.107 -> 172.31.241.253 -> 172.31.241.22 -> 172.31.241.29
2024-12-04 15:16:19,Northeast,www.nyu.edu,"d1q5ku5vnwkd2k.cloudfront.net.
52.84.125.31
52.84.125.36
52.84.125.109
52.84.125.53",0.0,9.107,9.96,10.888,22,172.25.144.1 -> 172.20.0.2 -> 10.2.3.54 -> 10.2.3.170 -> 192.5.109.1 -> 192.5.109.237 -> 192.153.37.49 -> 198.71.46.0 -> 163.253.2.17 -> 163.253.1.227 -> 99.82.179.52 -> 52.93.249.167 -> 52.95.62.99 -> * -> 150.222.100.142 -> 150.222.216.7 -> * -> * -> * -> * -> * -> 52.84.125.31
2024-12-04 15:16:19,Northeast,www.harvard.edu,"harvard-edu.go-vip.net.
192.0.66.20",0.0,14.783,16.733,24.834,30,172.25.144.1 -> 172.20.0.2 -> 10.2.3.54 -> 10.2.3.170 -> 192.5.109.1 -> 192.5.109.237 -> 199.18.194.49 -> 199.218.39.233 -> 199.218.20.78 -> 208.115.136.239 -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> *
2024-12-04 15:16:19,Northeast,www.mit.edu,"www.mit.edu.edgekey.net.
e9566.dscb.akamaiedge.net.
23.223.162.27",0.0,12.826,15.053,23.587,30,172.25.144.1 -> 172.20.0.2 -> 10.2.3.54 -> 10.2.3.170 -> 192.5.109.1 -> 192.5.109.237 -> 199.18.194.49 -> 199.218.39.233 -> 199.218.20.74 -> 208.115.136.73 -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> * -> *
